"ID_CHAMBRE_RESA","ARRIVEE","DEPART","CHAMBRE","RESERVATION"
19158,13/02/2019,15/02/2019,18,9526
2106,16/02/2019,18/02/2019,18,9800
18288,19/02/2019,21/02/2019,18,18001
1410,21/02/2019,22/02/2019,18,16302
5064,24/02/2019,25/02/2019,18,13286
15852,25/02/2019,27/02/2019,18,6366
3498,27/02/2019,01/03/2019,18,2005
16983,01/03/2019,02/03/2019,18,19863
4455,03/03/2019,05/03/2019,18,2100
13851,06/03/2019,07/03/2019,18,4163
2193,07/03/2019,10/03/2019,18,14978
16374,10/03/2019,11/03/2019,18,6413
15765,10/03/2019,12/03/2019,18,3228
18027,12/03/2019,13/03/2019,18,12537
13329,15/03/2019,17/03/2019,18,12078
6282,17/03/2019,18/03/2019,18,18770
366,17/03/2019,19/03/2019,18,16186
11067,23/03/2019,26/03/2019,18,15854
13068,30/03/2019,31/03/2019,18,2976
12877,01/01/2019,02/01/2019,1,12027
14530,02/01/2019,03/01/2019,1,9048
8092,03/01/2019,06/01/2019,1,5602
13312,06/01/2019,07/01/2019,1,19483
6091,07/01/2019,08/01/2019,1,268
11398,08/01/2019,09/01/2019,1,13891
18880,10/01/2019,11/01/2019,1,14619
2002,11/01/2019,14/01/2019,1,3861
1480,14/01/2019,16/01/2019,1,16310
12964,16/01/2019,17/01/2019,1,6069
14965,17/01/2019,20/01/2019,1,19644
1306,20/01/2019,21/01/2019,1,11716
19402,21/01/2019,24/01/2019,1,18116
7048,24/01/2019,26/01/2019,1,7496
15661,26/01/2019,29/01/2019,1,9158
7396,30/01/2019,01/02/2019,1,10309
13834,01/02/2019,02/02/2019,1,12124
262,02/02/2019,05/02/2019,1,11612
2089,05/02/2019,08/02/2019,1,12970
15922,08/02/2019,10/02/2019,1,11187
4612,11/02/2019,13/02/2019,1,7249
16357,14/02/2019,15/02/2019,1,4410
18445,16/02/2019,19/02/2019,1,12581
13486,19/02/2019,20/02/2019,1,12092
6700,21/02/2019,23/02/2019,1,328
7657,23/02/2019,25/02/2019,1,16910
2872,25/02/2019,26/02/2019,1,11871
13399,26/02/2019,27/02/2019,1,1007
4438,28/02/2019,01/03/2019,1,5226
16966,02/03/2019,03/03/2019,1,4475
3568,08/03/2019,09/03/2019,1,15129
11920,09/03/2019,11/03/2019,1,19342
7309,13/03/2019,14/03/2019,1,18873
7570,15/03/2019,16/03/2019,1,13526
5830,16/03/2019,19/03/2019,1,16727
958,20/03/2019,22/03/2019,1,18245
18271,22/03/2019,25/03/2019,1,14560
17749,28/03/2019,30/03/2019,1,1419
9223,30/03/2019,31/03/2019,1,8515
3481,31/03/2019,02/04/2019,1,13121
1654,02/04/2019,04/04/2019,1,18325
19924,06/04/2019,09/04/2019,1,12744
13573,10/04/2019,12/04/2019,1,4133
436,12/04/2019,14/04/2019,1,14797
14617,14/04/2019,16/04/2019,1,19604
1132,16/04/2019,17/04/2019,1,16271
15835,22/04/2019,25/04/2019,1,4363
2959,25/04/2019,26/04/2019,1,5064
12007,27/04/2019,28/04/2019,1,13951
17140,08/05/2019,09/05/2019,1,19880
5221,09/05/2019,11/05/2019,1,10086
784,11/05/2019,12/05/2019,1,4854
5395,12/05/2019,14/05/2019,1,18679
4699,14/05/2019,15/05/2019,1,5255
4090,15/05/2019,17/05/2019,1,15187
19054,17/05/2019,18/05/2019,1,18081
19141,19/05/2019,20/05/2019,1,14651
8266,20/05/2019,22/05/2019,1,18976
18184,24/05/2019,26/05/2019,1,17989
1828,27/05/2019,29/05/2019,1,1838
8179,30/05/2019,01/06/2019,1,8394
13747,02/06/2019,04/06/2019,1,4154
14269,04/06/2019,06/06/2019,1,14169
5569,10/06/2019,12/06/2019,1,13339
3655,12/06/2019,15/06/2019,1,5134
16009,16/06/2019,17/06/2019,1,4377
12616,18/06/2019,21/06/2019,1,17409
4525,22/06/2019,25/06/2019,1,16606
18967,25/06/2019,26/06/2019,1,16073
8875,27/06/2019,28/06/2019,1,2541
3046,30/06/2019,03/07/2019,1,16462
8527,03/07/2019,04/07/2019,1,505
16183,04/07/2019,06/07/2019,1,19781
2350,07/07/2019,09/07/2019,1,16397
10876,10/07/2019,12/07/2019,1,752
14878,12/07/2019,13/07/2019,1,6266
17836,17/07/2019,18/07/2019,1,4557
18706,18/07/2019,19/07/2019,1,6648
8614,19/07/2019,20/07/2019,1,7648
9919,22/07/2019,25/07/2019,1,17146
17662,27/07/2019,29/07/2019,1,12500
5134,01/08/2019,04/08/2019,1,8078
18532,04/08/2019,07/08/2019,1,4627
10615,07/08/2019,08/08/2019,1,2727
4960,09/08/2019,10/08/2019,1,147
2698,13/08/2019,15/08/2019,1,13038
19663,20/08/2019,22/08/2019,1,11578
12529,23/08/2019,25/08/2019,1,8851
697,26/08/2019,28/08/2019,1,14831
9049,29/08/2019,30/08/2019,1,2560
3307,30/08/2019,02/09/2019,1,3981
4003,02/09/2019,03/09/2019,1,51
2611,03/09/2019,06/09/2019,1,15030
13660,08/09/2019,11/09/2019,1,1032
8353,11/09/2019,12/09/2019,1,7630
17575,11/09/2019,14/09/2019,1,11362
4873,14/09/2019,15/09/2019,1,10049
2263,14/09/2019,16/09/2019,1,6991
4177,20/09/2019,22/09/2019,1,2069
16444,23/09/2019,25/09/2019,1,19813
10006,25/09/2019,26/09/2019,1,2657
12703,30/09/2019,02/10/2019,1,10870
13921,02/10/2019,03/10/2019,1,19541
18358,06/10/2019,07/10/2019,1,4612
7744,08/10/2019,11/10/2019,1,15540
9745,11/10/2019,12/10/2019,1,629
3829,13/10/2019,14/10/2019,1,18541
6178,15/10/2019,16/10/2019,1,7400
9397,17/10/2019,19/10/2019,1,2592
14095,19/10/2019,20/10/2019,1,3072
16531,23/10/2019,24/10/2019,1,1305
19837,25/10/2019,27/10/2019,1,14729
17488,27/10/2019,29/10/2019,1,6524
6874,27/10/2019,28/10/2019,1,10255
16792,31/10/2019,03/11/2019,1,4454
2176,03/11/2019,05/11/2019,1,11807
14182,11/11/2019,12/11/2019,1,4201
10441,12/11/2019,14/11/2019,1,17191
11833,18/11/2019,19/11/2019,1,5956
18619,19/11/2019,20/11/2019,1,1506
11050,22/11/2019,23/11/2019,1,7884
9310,27/11/2019,28/11/2019,1,8524
8788,28/11/2019,29/11/2019,1,15627
17401,01/12/2019,02/12/2019,1,1388
10354,06/12/2019,07/12/2019,1,19179
15139,08/12/2019,10/12/2019,1,6292
6265,10/12/2019,12/12/2019,1,13401
14704,12/12/2019,14/12/2019,1,9069
12355,17/12/2019,18/12/2019,1,8837
11659,19/12/2019,21/12/2019,1,8757
11224,23/12/2019,24/12/2019,1,13870
523,25/12/2019,26/12/2019,1,4832
6613,26/12/2019,28/12/2019,1,10233
3916,28/12/2019,29/12/2019,1,16553
18097,29/12/2019,30/12/2019,1,4584
19228,31/12/2019,01/01/2020,1,6694
1829,01/01/2019,03/01/2019,2,14942
4787,03/01/2019,05/01/2019,2,8039
19490,05/01/2019,06/01/2019,2,6719
12704,06/01/2019,09/01/2019,2,4042
7223,09/01/2019,10/01/2019,2,7515
4439,10/01/2019,11/01/2019,2,8008
6788,11/01/2019,13/01/2019,2,2337
437,17/01/2019,18/01/2019,2,3705
1655,18/01/2019,19/01/2019,2,12920
1394,19/01/2019,22/01/2019,2,3804
12356,22/01/2019,24/01/2019,2,4006
15401,24/01/2019,27/01/2019,2,4314
18794,27/01/2019,28/01/2019,2,12611
16445,27/01/2019,29/01/2019,2,1296
8963,30/01/2019,02/02/2019,2,7681
16619,02/02/2019,05/02/2019,2,1314
5657,05/02/2019,06/02/2019,2,16705
5309,06/02/2019,08/02/2019,2,15319
13661,08/02/2019,09/02/2019,2,10955
1916,10/02/2019,13/02/2019,2,14954
3221,13/02/2019,15/02/2019,2,13098
6092,15/02/2019,16/02/2019,2,10180
3395,17/02/2019,18/02/2019,2,3993
8180,20/02/2019,21/02/2019,2,2470
19751,21/02/2019,22/02/2019,2,12713
18359,22/02/2019,25/02/2019,2,12569
15662,26/02/2019,27/02/2019,2,11159
2525,27/02/2019,01/03/2019,2,15019
13400,01/03/2019,02/03/2019,2,3008
3830,02/03/2019,04/03/2019,2,13159
13487,04/03/2019,06/03/2019,2,1017
7658,04/03/2019,05/03/2019,2,8335
5918,05/03/2019,06/03/2019,2,2252
4265,08/03/2019,10/03/2019,2,7206
7049,14/03/2019,15/03/2019,2,8273
16184,19/03/2019,20/03/2019,2,4393
176,21/03/2019,24/03/2019,2,9603
12008,24/03/2019,26/03/2019,2,7972
4613,27/03/2019,29/03/2019,2,15237
6440,29/03/2019,01/04/2019,2,7427
9050,01/04/2019,02/04/2019,2,15655
18881,03/04/2019,04/04/2019,2,6665
8876,04/04/2019,05/04/2019,2,5673
10268,06/04/2019,07/04/2019,2,17174
10616,07/04/2019,08/04/2019,2,13810
6962,08/04/2019,09/04/2019,2,16836
5396,09/04/2019,11/04/2019,2,10101
13574,11/04/2019,13/04/2019,2,10947
13226,13/04/2019,14/04/2019,2,4095
6353,14/04/2019,16/04/2019,2,16779
17141,18/04/2019,20/04/2019,2,14448
2003,20/04/2019,21/04/2019,2,1861
12965,01/05/2019,03/05/2019,2,12038
3917,03/05/2019,04/05/2019,2,18551
1481,05/05/2019,06/05/2019,2,3811
14357,06/05/2019,08/05/2019,2,17584
8354,08/05/2019,09/05/2019,2,2485
10007,11/05/2019,14/05/2019,2,657
18185,15/05/2019,17/05/2019,2,1461
3047,17/05/2019,19/05/2019,2,7073
14444,20/05/2019,22/05/2019,2,17588
350,24/05/2019,25/05/2019,2,3694
2351,27/05/2019,28/05/2019,2,9820
19838,29/05/2019,31/05/2019,2,12729
15488,31/05/2019,03/06/2019,2,1203
7832,06/06/2019,09/06/2019,2,10355
9137,15/06/2019,16/06/2019,2,8505
5222,17/06/2019,19/06/2019,2,8086
4961,21/06/2019,24/06/2019,2,18642
785,24/06/2019,25/06/2019,2,1740
4091,24/06/2019,26/06/2019,2,2058
7136,27/06/2019,28/06/2019,2,7504
12095,29/06/2019,30/06/2019,2,5981
18011,03/07/2019,06/07/2019,2,6575
6005,06/07/2019,07/07/2019,2,5380
9311,07/07/2019,08/07/2019,2,10525
14618,11/07/2019,12/07/2019,2,6243
9485,12/07/2019,13/07/2019,2,599
12791,18/07/2019,19/07/2019,2,6052
1742,19/07/2019,21/07/2019,2,6939
18446,21/07/2019,23/07/2019,2,1489
16097,23/07/2019,24/07/2019,2,3264
4700,25/07/2019,27/07/2019,2,15247
6614,30/07/2019,31/07/2019,2,7445
19925,02/08/2019,04/08/2019,2,6772
16967,06/08/2019,07/08/2019,2,9296
5483,09/08/2019,11/08/2019,2,2210
